Chegada,Status,Porto,Sentido,Peso,Quantidade
16/02/2025 00:24:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,65000,1
16/02/2025 03:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,11000,1
16/02/2025 09:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,60000,1
16/02/2025 12:50:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,16000,1
16/02/2025 14:15:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,69300,1
16/02/2025 15:12:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,18000 1800,1
16/02/2025 18:18:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,3600 5400,1
16/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
16/03/2025 18:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
17/01/2025 05:48:00,PRIORIDADE C5,PORTO_DE_SANTOS,Exp,1,1
17/02/2025,CABOTAGEM,PORTO_DE_SANTOS,Exp; Exp,57000; 41000,2
17/02/2025,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp; Imp/Exp,10800 3600; 5400 5400; 1800 1800; 27000 1800; 17370 360; 1800 1800; 1800 1800; 9000 3600; 18666 126; 1800 1800; 1800 27000; 1800 27000; 27000 1800; 27000 1800; 1800 27000; 27000 1800; 5100 44209; 1800 14400; 1800 27000; 27000 1800; 1800 14400; 21852 180; 15300 1530,23
17/02/2025,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp,67187; 66200; 69000; 60000; 65000,5
17/02/2025,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,23451,1
17/02/2025,LASH,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1; 1,14
17/02/2025,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,35000; 30000; 62000; 30000; 30000; 25000; 16000; 16400; 25000; 25000; 25000,11
17/02/2025,PRIORIDADE C5,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp,1; 29000; 1000; 1; 31645,5
17/02/2025,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Imp/Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,1; 1; 1; 1; 3; 9800 26860; 40000; 1; 1; 1; 1; 1; 13990,13
17/02/2025 00:24:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,64000,1
17/02/2025 02:12:00,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp,196 1508,1
17/02/2025 02:24:00,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp,6238,1
17/02/2025 02:42:00,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp,1062 52,1
17/02/2025 04:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,32000,1
17/02/2025 06:00:00,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,1,1
17/02/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,3600 3600,1
17/02/2025 07:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,20000,1
17/02/2025 10:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,4500 6300; 12600 4500,2
17/02/2025 10:42:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
17/02/2025 11:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
17/02/2025 11:15:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,50000,1
17/02/2025 12:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,7200 7200,1
17/02/2025 14:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,66000,1
17/02/2025 15:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,60000,1
17/02/2025 15:00:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,17729,1
17/02/2025 16:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,6000,1
17/02/2025 22:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 27000,1
17/03/2025 13:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,1530 15300; 18666 126,2
