Chegada,Status,Porto,Sentido,Peso,Quantidade
11/01/2025 22:12,ATRACADOS,PORTO_DE_PARANAGUA,Imp,"38.148,000 Tons.",1
11/02/2025 02:48,ATRACADOS,PORTO_DE_PARANAGUA,Imp,"33.000,000 Tons.",1
11/02/2025 04:18,AO LARGO,PORTO_DE_PARANAGUA,Exp,"65.258,000 Tons.",1
11/02/2025 14:30,AO LARGO,PORTO_DE_PARANAGUA,Exp,"69.800,000 Tons.",1
11/02/2025 19:30,AO LARGO,PORTO_DE_PARANAGUA,Imp,"44.000,000 Tons.",1
11/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp,"1.050 Movs.; 17.330,000 Tons.",2
12/02/2025 03:30,AO LARGO,PORTO_DE_PARANAGUA,Exp,"65.000,000 Tons.",1
12/02/2025 16:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,"58.250,000 Tons.",1
12/02/2025 17:15,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,"67.940,000 Tons.",1
12/02/2025 22:15,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,"7.660,000 Tons.",1
13/02/2025 22:30,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,"25.000,000 Tons.",1
13/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1.050 Movs.,1
14/01/2025 04:54,ATRACADOS,PORTO_DE_PARANAGUA,Imp,"24.953,000 Tons.",1
14/01/2025 16:00,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp,"31.800,000 Tons.; 23.700,000 Tons.",2
14/02/2025 03:36,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,891 Movs.,1
14/02/2025 09:30,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,"2.008,000 Tons.",1
14/02/2025 09:42,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,940 Movs.,1
14/02/2025 15:45,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,1.495 Movs.,1
15/02/2025 01:48,AO LARGO,PORTO_DE_PARANAGUA,Exp,"66.200,000 Tons.",1
15/02/2025 02:06,ATRACADOS,PORTO_DE_PARANAGUA,Imp,"33.000,000 Tons.",1
