Mercadoria,Status,Porto,Sentido,Chegada,Peso,Quantidade
MAP,ATRACADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp,19/01/2025 06:00; 18/01/2025 09:00; 18/01/2025 09:00; 11/01/2025 22:12,"33.000,000 Tons.; 31.567,000 Tons.; 8.703,000 Tons.; 38.148,000 Tons.",4
MAP,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp,15/03/2025 19:44; 22/02/2025 08:00; 20/02/2025 08:00,"20.900,000 Tons.; 21.700,000 Tons.; 35.933,000 Tons.",3
METANOL,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,04/02/2025 13:00,"33.742,000 Tons.",1
METANOL,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp,11/03/2025 12:00; 10/03/2025 08:00; 03/03/2025 12:00; 18/02/2025 07:00,"17.330,000 Tons.; 17.000,000 Tons.; 14.000,000 Tons.; 12.034,000 Tons.",4
METANOL,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp,,"28.477,000 Tons.",1
METILATO DE SODIO,ESPERADOS,PORTO_DE_PARANAGUA,Imp,04/03/2025 19:00,"1.600,000 Tons.",1
MILHO,AO LARGO,PORTO_DE_PARANAGUA,Exp,07/02/2025 14:00,"66.000,000 Tons.",1
MILHO,PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,05/02/2025 00:30,"67.000,000 Tons.",1
NAFTAS PARA PETROQUIMICA,ESPERADOS,PORTO_DE_PARANAGUA,Imp,28/02/2025 06:00,"4.720,000 Tons.",1
OLEO DE SOJA,ATRACADOS,PORTO_DE_PARANAGUA,Exp,16/02/2025 22:18,"10.400,000 Tons.",1
OLEO DE SOJA,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp; Exp; Exp,26/02/2025 21:00; 25/02/2025 20:00; 24/02/2025 08:00; 22/02/2025 19:00; 20/02/2025 20:00,"7.000,000 Tons.; 10.000,000 Tons.; 1.500,000 Tons.; 12.000,000 Tons.; 15.000,000 Tons.",5
OLEO DIESEL,AO LARGO,PORTO_DE_PARANAGUA,Imp,08/02/2025 08:30,"59.934,000 Tons.",1
OLEO DIESEL,AO LARGO PARA REATRACAÇÃO,PORTO_DE_PARANAGUA,Imp,16/01/2025 14:42,"32.899,000 Tons.",1
OLEO DIESEL,ATRACADOS,PORTO_DE_PARANAGUA,Imp,17/02/2025 13:30,"37.911,000 Tons.",1
OLEO DIESEL,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp; Imp,27/02/2025 07:00; 25/02/2025 06:00; 22/02/2025 12:00; 19/02/2025 12:00; 18/02/2025 07:00,"45.350,000 Tons.; 32.000,000 Tons.; 25.000,000 Tons.; 59.935,000 Tons.; 25.000,000 Tons.",5
OLEOS BRUTOS DE PETROLEO,ESPERADOS,PORTO_DE_PARANAGUA,Imp,20/02/2025 08:00,"37.000,000 Tons.",1
OUT.TRIGOS E MISTURAS DE TRIGO,ATRACADOS,PORTO_DE_PARANAGUA,Imp,11/02/2025 02:48,"33.000,000 Tons.",1
OUTRAS MADEIRAS SERRADAS/CORTA,ESPERADOS,PORTO_DE_PARANAGUA,Exp,06/03/2025 08:00,"5,000 Tons.",1
OUTROS OLEOS DE DENDE,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp,07/03/2025 20:00; 20/02/2025 19:00,"15.005,000 Tons.; 13.000,000 Tons.",2
OUTS.ACUCARES,ESPERADOS,PORTO_DE_PARANAGUA,Exp,24/02/2025 07:00,"25.076,000 Tons.",1
OUTS.CARREGADORAS/PAS-CARREGAD,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,15/02/2025 06:00,"1.138,000 Tons.",1
"OUTS.MAD.COMP.FOLHEADA,ESPESS.",ESPERADOS,PORTO_DE_PARANAGUA,Exp,06/03/2025 08:00,"3,000 Tons.",1
"OUTS.PAPEIS/CARTOES ""KRAFTLINE",ESPERADOS,PORTO_DE_PARANAGUA,Exp,06/03/2025 08:00,"4,000 Tons.",1
PASSAGEIROS,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Exp; Imp/Exp; Imp/Exp; Imp/Exp,22/03/2027 06:00; 20/02/2026 06:00; 08/02/2026 06:00; 22/12/2025 06:00; 28/03/2025 08:00,"0,000 Tons.; 0,000 Tons.; 0,000 Tons.; 0,000 Tons.; 237,000 Tons.",5
PASSAGEIROS,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp/Exp,,"0,000 Tons.",1
PASTA QUIM.MADEIRA DE N/CONIF.,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,16/02/2025 08:00,"8.000,000 Tons.",1
PASTA QUIM.MADEIRA DE N/CONIF.,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp,24/02/2025 08:00; 23/02/2025 08:00,"10.000,000 Tons.; 8.000,000 Tons.",2
"REATORES NUCLEARES, CALDEIRAS,",ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp/Exp; Imp/Exp,10/04/2025 07:00; 27/02/2025 07:00; 19/02/2025 07:00,"35.000,000 Tons.; 3.659,000 Tons.; 35.000,000 Tons.",3
SAL MARINHO,ESPERADOS,PORTO_DE_PARANAGUA,Imp,28/02/2025 08:00,"10.000,000 Tons.",1
