Mercadoria,Sentido,Chegada,Status,Quantidade,Porto
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,20/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,16/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
MAP,Imp,15/03/2025 19:44,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,13/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,11/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
METANOL,Imp,11/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CLORETO DE POTASSIO,Imp,10/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,10/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
METANOL,Imp,10/03/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OUTROS OLEOS DE DENDE,Imp,07/03/2025 20:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,07/03/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,06/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
"OUTS.PAPEIS/CARTOES ""KRAFTLINE",Exp,06/03/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
"OUTS.MAD.COMP.FOLHEADA,ESPESS.",Exp,06/03/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
OUTRAS MADEIRAS SERRADAS/CORTA,Exp,06/03/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
METILATO DE SODIO,Imp,04/03/2025 19:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CEVADA CERVEJEIRA,Imp,04/03/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,03/03/2025 20:00,ESPERADOS,0,PORTO_DE_PARANAGUA
UREIA,Imp,03/03/2025 13:00,ESPERADOS,0,PORTO_DE_PARANAGUA
UREIA,Imp,03/03/2025 13:00,ESPERADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,03/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
METANOL,Imp,03/03/2025 12:00,ESPERADOS,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,02/03/2025 13:00,ESPERADOS,0,PORTO_DE_PARANAGUA
